
-------------------- Trial 0  --------------------

Trial 0 Training MaxEntTrainer,gaussianPriorVariance=1.0 with 3542 instances
Trial 0 Training MaxEntTrainer,gaussianPriorVariance=1.0 finished
Trial 0 Trainer MaxEntTrainer,gaussianPriorVariance=1.0
 Raw Training Data
32 emam emam:0.8885316708527686 shah:0.1114683291472314 
155 shah emam:0.8176113782947023 shah:0.18238862170529765 
470 emam emam:0.9946387795025783 shah:0.005361220497421715 
939 emam emam:0.9950748427927371 shah:0.004925157207262932 
1536 emam emam:0.7659644522165434 shah:0.2340355477834565 
573 shah shah:0.9999989823499635 emam:1.0176500365365456E-6 
1934 emam emam:0.989264142365786 shah:0.010735857634214092 
824 emam shah:0.5632935377101811 emam:0.43670646228981885 
1995 emam emam:0.9995491398572552 shah:4.508601427447812E-4 
1717 emam emam:0.9855387328189456 shah:0.014461267181054338 
563 emam emam:0.9900083331777465 shah:0.009991666822253407 
6 shah emam:0.9353411455836429 shah:0.06465885441635709 
312 shah shah:0.5493095494603414 emam:0.45069045053965867 
1749 emam emam:0.8962388162840109 shah:0.103761183715989 
1479 emam emam:0.9523828421648027 shah:0.047617157835197106 
131 shah shah:0.7168938681625442 emam:0.28310613183745575 
473 shah shah:0.8045412262786716 emam:0.19545877372132822 
715 shah emam:0.6851392308380444 shah:0.3148607691619557 
687 shah emam:0.6908196954114032 shah:0.3091803045885969 
755 shah shah:0.799195069773217 emam:0.20080493022678303 
273 emam emam:0.8385015975620632 shah:0.16149840243793673 
309 shah emam:0.7958628708244775 shah:0.20413712917552243 
702 emam emam:0.9993014611711785 shah:6.985388288215894E-4 
459 shah emam:0.5308187564997413 shah:0.4691812435002588 
745 shah emam:0.5661330444170333 shah:0.43386695558296673 
1511 emam emam:0.9990798326244685 shah:9.201673755314212E-4 
1866 emam emam:0.9949078741477944 shah:0.005092125852205759 
408 emam emam:0.8073986039828018 shah:0.19260139601719822 
2543 emam shah:0.5898187698608641 emam:0.41018123013913593 
133 shah emam:0.795213244145434 shah:0.20478675585456604 
1857 emam emam:0.8229927297937774 shah:0.1770072702062226 
497 shah emam:0.8396220986091832 shah:0.16037790139081687 
2567 emam emam:0.5617627961542185 shah:0.4382372038457814 
770 emam emam:0.9697342586980563 shah:0.03026574130194381 
393 shah emam:0.6772731316113502 shah:0.32272686838864983 
1219 emam emam:0.9279748794973313 shah:0.0720251205026686 
2475 emam emam:0.8525129676618396 shah:0.14748703233816038 
348 emam emam:0.9975061144421553 shah:0.0024938855578446515 
2963 emam emam:0.6718167547578985 shah:0.3281832452421015 
1328 emam emam:0.980004480396398 shah:0.01999551960360215 
159 emam emam:0.6051641315951163 shah:0.39483586840488366 
1373 emam emam:0.7850695176407645 shah:0.21493048235923554 
2807 emam emam:0.9412118148545452 shah:0.05878818514545467 
532 emam emam:0.9865785887736591 shah:0.013421411226340756 
267 emam emam:0.8948569565899863 shah:0.10514304341001364 
1170 emam emam:0.9726740252817716 shah:0.027325974718228507 
1586 emam emam:0.9917461224805959 shah:0.008253877519404118 
2743 emam emam:0.7982011297518952 shah:0.20179887024810483 
2916 emam emam:0.8299078772026804 shah:0.17009212279731944 
866 shah shah:0.999771075601507 emam:2.2892439849292521E-4 
118 emam emam:0.8154916023358485 shah:0.18450839766415159 
843 emam emam:0.5250157707912618 shah:0.4749842292087381 
964 emam emam:0.904117186200541 shah:0.09588281379945884 
459 emam emam:0.928897665349894 shah:0.07110233465010604 
853 shah shah:0.7046664122129161 emam:0.29533358778708385 
1467 emam shah:0.6299796024820379 emam:0.3700203975179621 
516 emam emam:0.8157769420185236 shah:0.18422305798147645 
3034 emam emam:0.8636439486258768 shah:0.1363560513741232 
88 shah shah:0.9339417622452079 emam:0.06605823775479208 
1916 emam emam:0.6876426551919879 shah:0.31235734480801214 
2618 emam emam:0.7535770410945235 shah:0.24642295890547655 
559 shah shah:0.8591443411833464 emam:0.1408556588166536 
2738 emam emam:0.7982011297518952 shah:0.20179887024810483 
3005 emam emam:0.8398177648217082 shah:0.16018223517829183 
2817 emam emam:0.9638813894301012 shah:0.03611861056989876 
161 shah emam:0.8507827058709951 shah:0.14921729412900472 
2908 emam emam:0.8539325901016761 shah:0.1460674098983238 
841 emam emam:0.7698444553294574 shah:0.23015554467054247 
659 shah emam:0.6235374019788149 shah:0.3764625980211852 
2102 emam emam:0.7775867735799312 shah:0.2224132264200688 
1330 emam emam:0.9937277672454521 shah:0.006272232754547888 
786 shah shah:0.9999996176296394 emam:3.823703605763847E-7 
2090 emam emam:0.5907672771844846 shah:0.40923272281551537 
226 emam emam:0.9980965938140312 shah:0.0019034061859687789 
1598 emam emam:0.8775411785388717 shah:0.12245882146112824 
85 emam emam:0.7361251673771695 shah:0.2638748326228305 
1758 emam emam:0.9999895245729473 shah:1.0475427052697996E-5 
2970 emam emam:0.9807897393552777 shah:0.019210260644722442 
